,Storage Discharge Energy to Grid (MWh),Storage RegUp (MWh),Storage RegDn (MWh),Storage Spin (MWh),LOSS (%),group,Day
86,11.839208,23.578733,19.699263,0.36282033,0.043060005,1,11/4/2019
87,44.0741,94.385956,28.506666,0.0,0.04400837,1,11/5/2019
88,7.0723615,25.814146,2.894025,0.0,0.08556721,1,11/6/2019
89,9.906697,75.019775,47.16862,0.0,0.106729396,1,11/7/2019
90,8.479924,16.485167,12.157971,0.0,0.04860657,1,11/8/2019
91,9.856267,1.4670703,2.2490666,0.0,0.055225674,1,11/9/2019
92,12.207112,33.65811,23.311476,0.0,0.05769622,1,12/1/2019
93,15.845738,49.264435,18.465834,0.0,0.0733236,1,12/10/2019
94,6.1340375,20.563902,19.38719,0.0,0.06420918,1,12/11/2019
95,10.15537,56.33249,38.48643,0.0,0.088317685,1,12/12/2019
96,10.488103,75.4816,66.78676,11.053479,0.086010285,1,12/13/2019
97,9.537633,33.309265,16.554518,0.0,0.044182446,1,12/14/2019
98,19.413181,42.316498,17.49037,0.0,0.06626681,1,12/15/2019
99,17.802998,45.564087,26.412153,0.0,0.051225852,1,12/16/2019
100,21.114307,64.45239,60.569256,0.0,0.07256835,1,12/17/2019
101,14.215337,46.926178,30.772718,0.0,0.053525787,1,12/18/2019
102,10.120748,38.737885,14.666394,0.0,0.09083824,1,12/19/2019
103,7.6059613,19.811522,24.861067,0.0,0.061772678,1,12/2/2019
104,1.94756,28.347593,20.45445,0.0,0.09547971,1,12/20/2019
105,2.5952346,49.206635,37.22224,0.0,0.0919591,1,12/21/2019
106,14.836186,43.942413,15.8630495,0.0,0.07747252,1,12/22/2019
107,12.399602,52.40387,37.102947,1.1368225,0.045964073,1,12/23/2019
108,13.867665,35.304535,30.523603,0.0,0.058102656,1,12/24/2019
109,13.088918,28.170134,18.51747,0.0,0.07150761,1,12/25/2019
110,19.423313,23.698362,8.490949,0.0,0.03722345,1,12/26/2019
111,17.877567,115.60336,58.47871,1.7577941,0.098149806,1,12/27/2019
112,6.0286145,63.276794,53.71287,0.0,0.09272952,1,12/28/2019
113,11.091252,26.92349,0.61042523,0.0,0.08083363,1,12/29/2019
114,6.562657,29.120024,28.959852,0.0,0.052682295,1,12/3/2019
115,17.29514,39.179626,22.839735,0.0,0.06485992,1,12/30/2019
116,3.266011,15.658874,25.94322,8.715604,0.09047667,1,12/31/2019
117,28.483631,31.683622,19.28813,0.0,0.041167006,1,12/4/2019
118,17.906498,29.01312,9.2086,0.0,0.0516052,1,12/5/2019
119,13.45873,35.73288,23.024244,0.0,0.04722102,1,12/6/2019
120,15.059819,0.0,19.236097,0.0,0.046391338,1,12/7/2019
121,9.951787,20.920897,31.711805,1.2350738,0.050798435,1,12/8/2019
122,13.437245,36.183807,23.556318,0.0,0.07560238,1,12/9/2019
123,6.9320264,41.44757,36.759686,1.4329956,0.04306523,1,2/1/2019
124,10.490224,18.30792,17.148512,2.0332,0.04794642,1,2/10/2019
125,13.747304,0.0,11.473157,12.849019,0.05446459,1,2/11/2019
126,15.073659,26.506926,26.602705,0.0,0.05473184,1,2/12/2019
127,22.60825,91.54523,88.093124,0.0,0.07497868,1,2/13/2019
128,15.442113,41.252106,50.52583,0.0,0.091470845,1,2/14/2019
129,19.820652,65.15344,50.472332,0.0,0.08358162,1,2/15/2019
130,48.70727,133.44382,95.79079,6.729939,0.05777851,1,2/16/2019
131,19.566761,26.472258,91.00905,15.742528,0.058995068,1,2/17/2019
132,26.308704,168.37466,112.498886,0.0,0.051132716,1,2/18/2019
133,7.70731,72.588715,139.38457,15.163495,0.036612865,1,2/19/2019
134,7.5089917,26.765165,11.767987,0.0,0.0790925,1,2/2/2019
135,15.771535,98.535034,103.366135,0.0,0.05117845,1,2/20/2019
136,21.911686,90.72507,68.35768,0.0,0.10232577,1,2/21/2019
137,23.723866,65.34622,43.40327,0.27851552,0.0548759,1,2/22/2019
138,42.454243,119.29593,89.57939,8.66377,0.06851754,1,2/23/2019
139,6.7934003,34.90869,19.723433,0.0,0.09112351,1,2/24/2019
140,18.209751,33.42163,27.411085,0.0,0.071777545,1,2/25/2019
141,6.481663,22.678862,34.61552,8.758466,0.06436735,1,2/26/2019
142,11.646611,57.895416,53.449047,1.1977813,0.106370516,1,2/27/2019
143,33.33492,44.79474,0.0,0.0,0.078140214,1,2/28/2019
144,3.3382308,20.92813,16.707594,3.6736724,0.09235855,1,2/3/2019
145,16.243717,68.38687,70.948654,2.9452178,0.07570358,1,2/4/2019
146,5.282246,23.069395,37.918896,6.6827817,0.07284191,1,2/5/2019
147,5.5767255,29.77255,24.58241,0.0,0.09011832,1,2/6/2019
148,10.550786,0.0,25.41014,0.0,0.038508557,1,2/7/2019
149,21.47887,16.281614,103.920425,0.0,0.033680808,1,2/8/2019
150,23.032398,0.0,27.059797,0.0,0.038503144,1,2/9/2019
151,34.607563,42.754456,99.646805,0.0,0.061528448,1,3/1/2019
152,12.755406,30.46173,0.0,0.0,0.08752899,1,3/10/2019
153,0.0,32.914856,12.76283,23.969929,0.12794887,1,3/11/2019
154,51.37289,0.0,0.7695439,0.0,0.07043102,1,3/12/2019
155,26.210102,97.28201,60.805218,0.0,0.051422615,1,3/13/2019
156,14.964391,24.115965,39.332714,0.0,0.0607698,1,3/14/2019
157,11.550649,43.72635,56.47465,3.9023712,0.05743548,1,3/15/2019
158,26.446064,86.149475,54.851208,4.481732,0.06691591,1,3/16/2019
159,34.095036,65.67175,51.10197,0.0,0.05901013,1,3/17/2019
160,4.884419,20.527922,21.265913,0.0,0.05024727,1,3/18/2019
161,38.077488,189.62363,198.5417,19.67072,0.051804997,1,3/19/2019
162,28.388096,143.57486,105.047714,0.0,0.09527511,1,3/2/2019
163,15.071095,93.60547,99.26524,0.0,0.062252764,1,3/20/2019
164,33.282993,82.83838,64.661026,0.0,0.067346394,1,3/21/2019
165,4.837498,75.01712,19.372328,15.118154,0.116940945,1,3/22/2019
166,24.307575,43.666687,31.630415,0.0,0.059675805,1,3/23/2019
167,42.622425,111.076935,45.174114,9.04894,0.04807986,1,3/24/2019
168,0.0,0.0,10.589337,0.0,0.0933058,1,3/25/2019
169,3.3214767,84.97232,108.56065,3.3215606,0.053720113,1,3/26/2019
170,55.005497,50.451385,58.54597,2.6783416,0.06907969,1,3/27/2019
171,27.246342,91.3147,69.550186,5.1320615,0.06415868,1,3/28/2019
172,21.811008,80.72662,37.994854,0.0,0.10292111,1,3/29/2019
173,12.143605,48.315704,95.92702,20.070889,0.08162238,1,3/3/2019
174,27.148106,41.584076,55.06718,7.142178,0.05341428,1,3/30/2019
175,31.354023,39.0188,40.8672,11.908292,0.059233442,1,3/31/2019
176,8.573293,26.944273,28.493422,0.0,0.054000646,1,3/4/2019
177,9.669789,33.59543,32.623425,0.0,0.09966881,1,3/5/2019
178,16.45325,59.233856,50.068584,0.0,0.077724464,1,3/6/2019
179,0.0,0.0,28.9297,2.1121032,0.08867572,1,3/7/2019
180,42.84267,193.76367,248.1134,14.135587,0.043971647,1,3/8/2019
181,0.0,91.72125,35.57786,8.031262,0.11505373,1,3/9/2019
182,12.9166765,59.065826,25.242628,0.0,0.048951007,1,4/1/2019
183,22.041996,0.0,0.0,0.0,0.07791926,1,4/10/2019
184,0.0,0.0,0.0,31.514675,0.06977218,1,4/11/2019
185,16.629078,37.25363,28.152205,19.05923,0.05662359,1,4/12/2019
186,20.268848,44.069794,36.701305,0.0,0.08009072,1,4/13/2019
187,2.084767,9.738311,50.402782,9.905629,0.07765293,1,4/14/2019
188,7.178807,71.78305,1.2954533,13.386167,0.11216383,1,4/15/2019
189,29.964024,99.5914,91.17174,0.0,0.06229869,1,4/16/2019
190,51.554188,152.8197,194.24895,40.563107,0.07648435,1,4/17/2019
191,17.983692,0.0,0.0,0.0,0.08202178,1,4/18/2019
192,0.0,0.0,14.67146,12.741803,0.06687433,1,4/19/2019
193,0.0,0.0,0.0,0.0,0.052473146,1,4/2/2019
194,21.965168,3.0674732,65.31987,31.960705,0.070766605,1,4/20/2019
195,5.296223,0.0,247.16718,0.0,0.05174598,1,4/21/2019
196,49.114094,169.60886,72.928665,0.0,0.057626132,1,4/22/2019
197,54.280857,111.34412,9.561994,7.594708,0.08644437,1,4/23/2019
198,28.355534,59.345245,0.0,15.065389,0.085576534,1,4/24/2019
199,0.0,0.0,0.0,0.0,0.063380234,1,4/25/2019
200,11.052953,87.07205,47.387585,0.0,0.124905825,1,4/26/2019
201,16.992329,23.928343,248.73363,0.0,0.039619565,1,4/27/2019
202,17.198444,50.147705,112.911575,37.341404,0.05075927,1,4/28/2019
