,Total_Rev_Predicted,Revenue: Hydro Only,group,E,Cap,Net_rev_ES,5-yr ROI%,Pay back period
34,6609388.6,2219061.371860172,35,103.16,25.79,4390327.228139827,-7.059453236034658,12.073352096305547
35,7810122.54,2219061.371860172,36,15.03,30.06,5591061.168139828,46.45813223722932,3.5900164959311387
36,7810487.54,2219061.371860172,37,30.06,30.06,5591426.168139828,22.058360595159606,4.707950276798848
37,7810852.54,2219061.371860172,38,60.12,30.06,5591791.168139828,4.388572039544462,6.941751777941367
38,7811217.54,2219061.371860172,39,90.17999999999999,30.06,5592156.168139828,-2.40779313996915,9.061939420046977
39,7811582.54,2219061.371860172,40,120.24,30.06,5592521.168139828,-6.246713014513807,11.300147834288438
40,8802427.86,2219061.371860172,41,17.17,34.34,6583366.488139827,48.25782669713195,3.4871670315310697
41,8802792.86,2219061.371860172,42,34.34,34.34,6583731.488139827,23.26938582954141,4.5714586193119695
42,8803157.86,2219061.371860172,43,68.68,34.34,6584096.488139827,4.993575648411925,6.761185523905001
43,8803522.86,2219061.371860172,44,103.02000000000001,34.34,6584461.488139827,-2.031120760637131,8.85441542926265
44,8803887.86,2219061.371860172,45,137.36,34.34,6584826.488139827,-6.052016260743157,11.126198033372852
45,9945548.8,2219061.371860172,46,19.31,38.62,7726487.428139828,50.89388264527525,3.3469059507029826
46,9945913.8,2219061.371860172,47,38.62,38.62,7726852.428139828,25.001986059936343,4.387658496388174
47,9946278.8,2219061.371860172,48,77.24,38.62,7727217.428139828,5.892159782137639,6.51067028483338
48,9946643.8,2219061.371860172,49,115.85999999999999,38.62,7727582.428139828,-1.4619835447731524,8.559280463603843
49,9947008.8,2219061.371860172,50,154.48,38.62,7727947.428139828,-5.702191035162384,10.826169984176385
50,11137160.66,2219061.371860172,51,21.445,42.89,8918099.288139828,53.273242525541335,3.2268276008331154
51,11137525.66,2219061.371860172,52,42.89,42.89,8918464.288139828,26.57992290858997,4.23033823831742
52,11137890.66,2219061.371860172,53,85.78,42.89,8918829.288139828,6.705325907152857,6.296748686163159
53,11138255.66,2219061.371860172,54,128.67000000000002,42.89,8919194.288139828,-0.9480416770644873,8.306631629938677
54,11138620.66,2219061.371860172,55,171.56,42.89,8919559.288139828,-5.383955027979354,10.5645900143272
55,12244710.29,2219061.371860172,56,23.585,47.17,10025648.918139827,54.48633130721265,3.1638355793112765
56,12245075.29,2219061.371860172,57,47.17,47.17,10026013.918139827,27.413065810261255,4.147767307720373
57,12245440.29,2219061.371860172,58,94.34,47.17,10026378.918139827,7.1054456002962025,6.190522614894607
58,12245805.29,2219061.371860172,59,141.51,47.17,10026743.918139827,-0.7006433420934823,8.185065474964677
59,12246170.29,2219061.371860172,60,188.68,47.17,10027108.918139827,-5.2579729012755205,10.46108355916942
60,13180846.57,2219061.371860172,61,25.725,51.45,10961785.198139828,54.244693801573376,3.1642302406935827
61,13181211.57,2219061.371860172,62,51.45,51.45,10962150.198139828,27.349586677403373,4.1465159565095595
62,13181576.57,2219061.371860172,63,102.9,51.45,10962515.198139828,7.009023586542218,6.202733467366489
63,13181941.57,2219061.371860172,64,154.35000000000002,51.45,10962880.198139828,-0.7649015161394681,8.206049928937006
64,13182306.57,2219061.371860172,65,205.8,51.45,10963245.198139828,-5.361138387726229,10.53782507346112
65,14387094.67,2219061.371860172,66,27.86,55.72,12168033.298139827,55.63444326501498,3.0948130697947698
66,14387459.67,2219061.371860172,67,55.72,55.72,12168398.298139827,28.305340921177688,4.0555172901587655
67,14387824.67,2219061.371860172,68,111.44,55.72,12168763.298139827,7.463887293273681,6.085190700833754
68,14388189.67,2219061.371860172,69,167.16,55.72,12169128.298139827,-0.45082013698896756,8.058794525456134
69,14388554.67,2219061.371860172,70,222.88,55.72,12169493.298139827,-5.201047282031581,10.40750365493478
70,15495483.23,2219061.371860172,71,30.0,60.0,13276421.858139828,56.163295037169505,3.062491460882267
71,15495848.23,2219061.371860172,72,60.0,60.0,13276786.858139828,28.711847521713445,4.012973388448528
72,15496213.23,2219061.371860172,73,120.0,60.0,13277151.858139828,7.631884323314519,6.03589822262122
73,15496578.23,2219061.371860172,74,180.0,60.0,13277516.858139828,-0.32923617790076815,7.9983474625646105
74,15496943.23,2219061.371860172,75,240.0,60.0,13277881.858139828,-5.179616104748411,10.386095318322857
